yearRequest,monthRequest,dateRequest,yearClosed,monthClosed,dateClosed,srvrequestid,caseagedays,status,servicename,latitude,longitude,district
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3253729,0,Referred,Pothole,32.7158325,-117.1703,3
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3253760,1,Closed,Pothole,33.0291976,-117.05738,5
2021,Feb,2021-02-23,2021,Mar,2021-03-23,3253788,28,Closed,Pothole,32.7151692,-117.12687,3
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3253860,0,Referred,Pothole,32.7136533,-117.14833,3
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3253924,0,Closed,Pothole,32.8929508,-117.19744,6
2021,Feb,2021-02-23,2021,Feb,2021-02-26,3254012,3,Closed,Pothole,32.7500007,-117.15956,3
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3254031,1,Closed,Pothole,32.8483347,-117.24746,1
2021,Feb,2021-02-23,2021,Mar,2021-03-23,3254034,28,Closed,Pothole,32.7501464,-117.16335,3
2021,Feb,2021-02-23,2021,Mar,2021-03-10,3254056,15,Closed,Pothole,32.8899768,-117.23476,1
2021,Feb,2021-02-23,2021,Mar,2021-03-10,3254060,15,Closed,Pothole,32.8900511,-117.23487,1
2021,Feb,2021-02-23,2021,Mar,2021-03-10,3254064,15,Closed,Pothole,32.8904871,-117.2366,1
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3254109,1,Closed,Pothole,32.5497417,-117.03775,8
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3254113,0,Closed,Pothole,32.8484305,-117.24788,1
2021,Feb,2021-02-23,2021,Mar,2021-03-05,3254117,10,Closed,Pothole,32.6752386,-117.06769,4
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3254157,1,Closed,Pothole,32.9654716,-117.11268,5
2021,Feb,2021-02-23,,,,3254162,33,In Process,Pothole,33.039147,-117.07901,5
2021,Feb,2021-02-23,2021,Mar,2021-03-09,3254219,14,Closed,Pothole,32.8925751,-117.20033,6
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3254239,0,Closed,Pothole,32.7484693,-117.1437,3
2021,Feb,2021-02-23,,,,3254256,33,In Process,Pothole,32.8272383,-117.14901,6
2021,Feb,2021-02-24,2021,Feb,2021-02-24,3254263,0,Closed,Pothole,32.8142526,-117.17923,6
2021,Feb,2021-02-24,2021,Feb,2021-02-24,3254273,0,Closed,Pothole,32.8499829,-117.2511,1
2021,Feb,2021-02-24,,,,3254281,33,In Process,Pothole,32.8272732,-117.14892,6
2021,Feb,2021-02-24,2021,Mar,2021-03-24,3254282,28,Closed,Pothole,32.8228312,-117.14886,6
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3254376,1,Closed,Pothole,32.821996,-117.27858,1
2021,Feb,2021-02-24,2021,Feb,2021-02-24,3254382,0,Referred,Pothole,32.7525082,-117.15797,3
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3254439,1,Closed,Pothole,32.8464114,-117.24363,1
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3254548,1,Closed,Pothole,32.8495264,-117.25015,1
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3254550,1,Closed,Pothole,32.8464114,-117.24363,1
2021,Feb,2021-02-24,2021,Feb,2021-02-24,3254565,0,Closed,Pothole,32.5753646,-116.98815,8
2021,Feb,2021-02-24,2021,Feb,2021-02-24,3254717,0,Closed,Pothole,32.7441252,-117.23417,2
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3254752,1,Closed,Pothole,32.8313449,-117.13108,6
2021,Feb,2021-02-24,2021,Feb,2021-02-24,3254784,0,Closed,Pothole,32.5532865,-117.04277,8
2021,Feb,2021-02-24,,,,3254967,32,In Process,Pothole,32.9459043,-117.10214,5
2021,Feb,2021-02-24,2021,Feb,2021-02-24,3254969,0,Referred,Pothole,32.7758881,-117.12328,7
2021,Feb,2021-02-24,2021,Mar,2021-03-02,3254979,6,Closed,Pothole,32.9091594,-117.1313,6
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3254997,1,Closed,Pothole,32.9093975,-117.13157,6
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3255056,1,Closed,Pothole,32.8825284,-117.22089,1
2021,Feb,2021-02-24,2021,Mar,2021-03-12,3255096,16,Closed,Pothole,32.8410107,-117.26861,1
2021,Feb,2021-02-24,,,,3255109,32,In Process,Pothole,32.7601632,-117.06285,9
2021,Feb,2021-02-24,,,,3255165,32,In Process,Pothole,32.8083296,-117.01267,7
2021,Feb,2021-02-24,2021,Feb,2021-02-26,3255863,1,Closed,Pothole,32.7642966,-117.06063,9
2021,Feb,2021-02-24,2021,Mar,2021-03-11,3255357,15,Closed,Pothole,32.8437213,-117.27114,1
2021,Feb,2021-02-24,,,,3255358,32,In Process,Pothole,32.8272767,-117.15109,6
